topo_position,dataset,ours_rank,total_rank_sum_compare,n_trees_value_compare,n_trees_rank_compare,used_value_compare,used_rank_compare,leaves_value_compare,leaves_rank_compare,eu_mean_value_compare,eu_mean_rank_compare,eu_min_value_compare,eu_min_rank_compare,eu_max_value_compare,eu_max_rank_compare,eu_std_value_compare,eu_std_rank_compare,lpt_mean_value_compare,lpt_mean_rank_compare,lpt_min_value_compare,lpt_min_rank_compare,lpt_max_value_compare,lpt_max_rank_compare,lpt_std_value_compare,lpt_std_rank_compare
0,ItalyPowerDemand,1,623,50,4,22,81,184,106,4.18,61,1,34,18,48,4.23,63,3.7,92,2,49,6,57,0.95,28
1,PowerCons,1,620,50,4,60,73,272,101,3.22,70,1,34,13,53,3.50,59,5.4,83,3,48,9,55,1.39,40
2,MoteStrain,1,616,50,4,45,78,132,109,1.62,94,1,34,7,59,1.04,16,2.6,104,2,49,3,60,0.48,9
3,Chinatown,1,609,100,3,24,80,246,102,4.00,62,1,34,10,56,2.63,45,2.5,105,2,49,4,59,0.61,14
4,GunPointOldVersusYoung,1,606,100,3,51,75,212,105,1.84,88,1,34,5,61,1.14,22,2.1,108,2,49,4,59,0.35,2
5,ECGFiveDays,3,605,100,3,47,76,223,104,1.66,93,1,34,5,61,0.93,14,2.2,107,2,49,3,60,0.42,4
6,Coffee,3,600,100,3,115,66,287,99,1.52,97,1,34,5,61,0.80,11,2.9,100,2,49,5,58,0.76,22
7,FreezerRegularTrain,3,594,50,4,108,67,300,98,1.92,86,1,34,13,53,1.81,33,6.0,79,4,47,10,54,1.31,39
8,BME,1,575,100,3,96,69,394,92,2.41,77,1,34,10,56,1.79,32,3.9,89,3,48,6,57,0.70,18
9,InsectEPGSmallTrain,1,575,100,3,194,51,327,97,1.17,108,1,34,3,63,0.41,3,3.3,97,2,49,5,58,0.60,12
10,DiatomSizeReduction,3,569,100,3,170,54,357,96,1.48,100,1,34,4,62,0.70,6,3.6,95,3,48,5,58,0.60,13
11,Beef,3,562,200,1,131,64,641,81,2.37,78,1,34,11,55,1.94,35,3.2,98,2,49,4,59,0.47,8
12,BeetleFly,1,561,200,1,201,50,552,85,1.42,101,1,34,5,61,0.81,12,2.8,102,2,49,4,59,0.46,7
13,InsectEPGRegularTrain,1,560,100,3,237,46,385,93,1.18,107,1,34,3,63,0.41,2,3.9,91,3,48,5,58,0.65,15
14,UMD,1,558,100,3,136,62,639,82,3.75,66,1,34,12,54,2.64,46,6.4,78,4,47,9,55,1.02,31
15,OliveOil,1,554,100,3,246,45,455,89,1.41,103,1,34,5,61,0.71,8,4.5,87,3,48,6,57,0.73,19
16,BirdChicken,1,552,200,1,202,49,566,84,1.42,102,1,34,5,61,0.79,9,2.8,101,2,49,4,59,0.40,3
17,GunPoint,2,543,200,1,146,59,1160,71,5.75,50,1,34,18,48,2.86,49,5.8,81,3,48,10,54,1.49,48
18,ECG200,2,538,200,1,96,69,1623,63,9.53,40,2,33,31,40,5.51,74,8.1,72,5,46,14,50,1.62,50
19,GunPointAgeSpan,3,535,100,3,148,58,983,75,5.45,53,1,34,14,52,2.69,47,9.8,68,6,45,13,51,1.52,49
20,Plane,3,534,100,3,139,61,913,78,5.32,55,1,34,16,50,3.03,53,9.1,69,7,44,13,51,1.16,36
21,ToeSegmentation2,2,530,150,2,302,38,895,79,2.35,79,1,34,8,58,1.37,26,6.0,80,4,47,9,55,1.05,32
22,Lightning2,3,529,150,2,430,32,990,74,1.83,90,1,34,6,60,1.10,18,6.6,77,4,47,11,53,1.42,42
23,Wafer,2,527,100,3,152,57,1388,69,8.00,42,1,34,24,44,4.83,67,13.9,57,7,44,22,44,3.02,66
24,Herring,1,526,100,3,375,36,861,80,1.93,85,1,34,7,59,1.15,23,8.6,71,6,45,11,53,1.22,37
25,Strawberry,2,520,50,4,215,48,943,77,3.85,64,1,34,30,41,3.96,62,18.9,53,14,38,23,43,2.05,56
26,ProximalPhalanxOutlineAgeGroup,1,519,150,2,76,72,1615,64,11.89,36,1,34,42,35,9.08,84,10.8,64,8,43,13,51,1.05,34
27,GunPointMaleVersusFemale,2,516,150,2,148,58,1066,73,5.46,52,1,34,15,51,2.56,43,7.1,76,5,46,10,54,0.91,27
28,ECG5000,2,511,100,3,140,60,1758,61,9.96,39,2,33,30,41,5.28,73,17.6,54,11,40,24,42,2.74,65
29,MiddlePhalanxOutlineAgeGroup,3,510,150,2,80,71,1600,65,13.94,35,4,31,34,38,5.11,70,10.7,66,7,44,14,50,1.25,38
30,MiddlePhalanxTW,1,508,150,2,80,71,1809,59,17.68,32,7,29,35,37,7.05,81,12.1,62,9,42,15,49,1.44,44
31,Lightning7,2,507,100,3,273,41,1072,72,3.02,73,1,34,16,50,2.33,42,10.7,65,8,43,13,51,1.05,33
32,CinCECGTorso,3,502,200,1,697,21,1450,68,1.60,95,1,34,10,56,1.06,17,7.2,75,5,46,10,54,1.08,35
33,Ham,3,490,200,1,410,35,2028,54,4.28,60,1,34,18,48,3.13,55,10.1,67,7,44,15,49,1.42,43
34,ProximalPhalanxOutlineCorrect,1,481,50,4,80,71,1990,56,21.24,30,2,33,67,26,12.23,89,39.8,37,31,25,48,31,4.54,79
35,Earthquakes,1,477,150,2,471,30,2046,53,3.73,67,1,34,33,39,3.32,58,13.6,58,9,42,16,48,1.47,46
36,Mallat,2,472,200,1,704,19,1805,60,2.20,80,1,34,10,56,1.52,30,9.0,70,7,44,12,52,0.90,26
37,SmoothSubspace,2,469,200,1,15,82,2515,51,100.53,7,61,7,134,14,23.55,102,12.6,60,8,43,18,47,2.02,55
38,DistalPhalanxTW,2,461,100,3,80,71,3110,48,33.71,24,12,25,66,27,12.62,91,31.1,44,26,29,36,38,2.30,61
39,HandOutlines,2,453,50,4,1038,8,1686,62,1.52,98,1,34,9,57,0.95,15,33.7,41,24,30,41,35,3.25,69
40,SmallKitchenAppliances,3,451,150,2,621,24,3400,44,4.58,57,1,34,60,29,4.81,66,22.7,50,15,37,32,40,3.20,68
41,ProximalPhalanxTW,2,446,200,1,80,71,4870,38,49.65,19,23,18,108,19,16.81,97,24.4,49,18,34,32,40,2.23,60
42,ACSF1,1,444,100,3,1024,9,1888,57,1.73,92,1,34,6,60,0.90,13,18.9,52,16,36,23,43,1.44,45
43,SemgHandGenderCh2,3,440,200,1,1172,7,3495,43,2.62,76,1,34,87,23,4.61,65,17.5,55,13,39,23,43,1.95,54
44,ChlorineConcentration,1,433,150,2,166,56,6036,34,29.59,26,9,27,169,9,20.43,100,40.2,33,26,29,55,27,6.38,90
45,Haptics,2,433,100,3,973,13,2763,50,2.72,74,1,34,9,57,1.48,29,27.6,47,23,31,37,37,2.16,58
46,Fish,3,421,200,1,463,31,5451,36,11.13,37,2,33,35,37,4.90,68,27.3,48,22,32,33,39,2.18,59
47,InsectWingbeatSound,1,421,100,3,256,43,3972,41,14.71,34,5,30,30,41,5.14,72,39.7,38,33,23,47,32,2.61,64
48,Adiac,3,405,200,1,176,53,10076,19,45.85,20,17,22,226,6,31.03,106,50.4,24,17,35,82,18,13.03,101
49,StarLightCurves,2,399,150,2,1015,12,6050,33,5.76,49,1,34,21,46,3.19,57,40.3,32,29,27,56,26,4.70,81
50,MixedShapesRegularTrain,2,387,200,1,1022,10,8000,25,7.54,47,1,34,22,45,3.50,60,40.0,35,30,26,50,30,3.80,74
51,DistalPhalanxOutlineCorrect,2,385,150,2,80,71,7119,29,80.45,10,52,10,112,17,12.75,92,47.5,27,32,24,59,25,4.52,78
52,SyntheticControl,3,385,200,1,60,73,8033,24,118.23,6,80,5,209,7,27.51,104,40.2,34,31,25,51,29,4.00,77
53,MiddlePhalanxOutlineCorrect,1,377,100,3,80,71,6328,32,75.33,12,49,11,110,18,12.95,93,63.3,21,50,15,77,21,4.69,80
54,UWaveGestureLibraryAll,2,350,100,3,942,14,7236,27,7.56,46,1,34,17,49,2.95,51,72.4,16,57,11,84,17,5.01,82
55,SwedishLeaf,2,346,150,2,128,65,10798,18,80.45,9,54,9,150,11,18.64,99,72.0,17,52,14,86,16,5.53,86
56,EthanolLevel,3,343,200,1,1722,1,13619,14,7.71,43,1,34,57,30,6.18,76,68.1,19,45,18,81,19,5.91,88
57,PhalangesOutlinesCorrect,1,339,150,2,80,71,14509,13,162.99,5,78,6,351,3,57.29,107,96.7,12,60,9,127,11,12.77,100
58,UWaveGestureLibraryZ,3,331,100,3,315,37,11644,17,36.35,23,18,21,55,31,6.79,78,116.4,10,91,7,136,9,8.67,95
59,NonInvasiveFetalECGThorax2,2,330,150,2,750,17,19972,9,25.86,27,3,32,94,21,16.88,98,133.1,6,80,8,174,6,18.41,104
60,Crop,2,303,200,1,46,77,121329,1,1599.72,1,1275,1,2433,1,283.03,109,606.6,1,430,1,756,1,60.62,109
61,UWaveGestureLibraryX,3,303,150,2,315,37,17621,11,54.65,18,26,17,84,24,10.79,87,117.5,9,103,5,130,10,5.11,83
62,FordB,3,287,200,1,500,29,37684,5,74.82,13,48,12,117,15,10.58,86,188.4,5,58,10,265,3,40.13,108
63,NonInvasiveFetalECGThorax1,2,283,200,1,750,17,43037,3,56.69,17,22,19,157,10,21.04,101,215.2,3,154,3,259,4,20.54,105
64,UWaveGestureLibraryY,3,283,200,1,315,37,26462,6,80.09,11,47,13,117,15,12.55,90,132.3,7,113,4,155,7,7.81,92
65,FordA,3,282,200,1,500,29,40566,4,80.60,8,56,8,115,16,10.01,85,202.8,4,49,16,255,5,34.86,106
