f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,class
-0.647885,-0.641992,-0.638186,-0.638259,-0.638345,-0.638697,-0.643049,-0.643768,-0.64505,-0.647118,-0.649153,-0.651246,-0.65729,-0.662201,-0.661232,-0.660987,-0.661562,-0.662256,-0.661912,-0.66274,-0.660934,-0.66345,-0.662194,-0.662336,-0.661712,-0.661392,-0.661408,-0.661447,-0.660373,-0.659108,-0.659742,-0.658176,-0.658395,-0.657348,-0.65852,-0.658486,-0.657366,-0.654358,-0.652518,-0.651316,-0.648145,-0.647333,-0.647098,-0.644862,-0.643604,-0.643492,-0.642651,-0.642097,-0.644479,-0.648892,-0.657659,-0.661203,-0.649664,-0.610168,-0.537435,-0.465031,-0.358535,-0.283136,-0.177446,0.158246,0.350285,0.48241,0.603807,0.797104,0.987551,1.20379,1.40654,1.59625,1.71283,1.77882,1.79385,1.79714,1.81019,1.82063,1.81722,1.83163,1.83163,1.82896,1.84538,1.84526,1.84581,1.84249,1.83536,1.83637,1.8407,1.83251,1.83176,1.82924,1.82239,1.81374,1.80657,1.78175,1.76817,1.715,1.63617,1.5421,1.41683,1.29536,1.17171,1.02948,0.832695,0.748737,0.484444,0.467997,0.136193,-0.020964,-0.241446,-0.429279,-0.547879,-0.657701,-0.740821,-0.775352,-0.782461,-0.769292,-0.743278,-0.719381,-0.696877,-0.686315,-0.673739,-0.66839,-0.664643,-0.664117,-0.664296,-0.661198,-0.659346,-0.652582,-0.643325,-0.638869,-0.636558,-0.633174,-0.633037,-0.633009,-0.633034,-0.635219,-0.63447,-0.635791,-0.636283,-0.635395,-0.636074,-0.637552,-0.639264,-0.639716,-0.639735,-0.640184,-0.639234,-0.639395,-0.640231,-0.640429,-0.638666,-0.638657,2
-0.644427,-0.645401,-0.647055,-0.647492,-0.64691,-0.643884,-0.639731,-0.638094,-0.635297,-0.635384,-0.634114,-0.633719,-0.632054,-0.632278,-0.62956,-0.628704,-0.627467,-0.624092,-0.620382,-0.615571,-0.612364,-0.608949,-0.608143,-0.608754,-0.609322,-0.609641,-0.610685,-0.611132,-0.61108,-0.61171,-0.610883,-0.609453,-0.608941,-0.606886,-0.604961,-0.602577,-0.60001,-0.598005,-0.597536,-0.597771,-0.596986,-0.59715,-0.595541,-0.593594,-0.595785,-0.599108,-0.591205,-0.565836,-0.507265,-0.472912,-0.396333,-0.334147,-0.200001,-0.0844937,0.100837,0.314894,0.525119,0.694554,0.807807,0.92774,1.08586,1.2465,1.41871,1.58844,1.71823,1.82488,1.84716,1.8518,1.87242,1.88724,1.89855,1.90938,1.91247,1.90967,1.91747,1.91903,1.91903,1.92518,1.91722,1.92005,1.92118,1.92289,1.91494,1.91969,1.90022,1.87587,1.82506,1.7656,1.66321,1.53123,1.38375,1.2475,1.11441,0.974986,0.862711,0.727535,0.625367,0.463262,0.225076,-0.012778,-0.237274,-0.378925,-0.496825,-0.612932,-0.711325,-0.769523,-0.801188,-0.813048,-0.814203,-0.808585,-0.798952,-0.780457,-0.763257,-0.752078,-0.732522,-0.722179,-0.710579,-0.700497,-0.692511,-0.685541,-0.675067,-0.669837,-0.663213,-0.659607,-0.652952,-0.649821,-0.647195,-0.645502,-0.645346,-0.644908,-0.645182,-0.645991,-0.644985,-0.643824,-0.642958,-0.642833,-0.643481,-0.643571,-0.641868,-0.641566,-0.64114,-0.641426,-0.639267,-0.637797,-0.63768,-0.63526,-0.63549,-0.634934,-0.634497,-0.631596,2
-0.778353,-0.778279,-0.777151,-0.777684,-0.7759,-0.772421,-0.765464,-0.762275,-0.763752,-0.765356,-0.765617,-0.765978,-0.768569,-0.77674,-0.781915,-0.782051,-0.777994,-0.776786,-0.776082,-0.778613,-0.782672,-0.780454,-0.777002,-0.769969,-0.769818,-0.768712,-0.769902,-0.772514,-0.772908,-0.774469,-0.774138,-0.76995,-0.769002,-0.769469,-0.771182,-0.770312,-0.761046,-0.719169,-0.66384,-0.639268,-0.63442,-0.6287,-0.633406,-0.624272,-0.598264,-0.57381,-0.56252,-0.550177,-0.528198,-0.476624,-0.392068,-0.308898,-0.0111567,0.287115,0.437996,0.618751,0.887148,1.13564,1.34145,1.52005,1.6115,1.65578,1.67504,1.68824,1.69861,1.70347,1.70374,1.70055,1.70003,1.69833,1.69698,1.6951,1.69675,1.69661,1.6942,1.68869,1.68869,1.6866,1.67822,1.67161,1.66793,1.66215,1.66241,1.65551,1.64838,1.63725,1.63716,1.63443,1.62212,1.59739,1.56757,1.50634,1.40585,1.28117,1.13922,0.979356,0.809064,0.646919,0.47169,0.302694,0.187737,0.0390584,-0.0786976,-0.208214,-0.312645,-0.388996,-0.451825,-0.499657,-0.533074,-0.557154,-0.562841,-0.577437,-0.598067,-0.620096,-0.637172,-0.64029,-0.636958,-0.630488,-0.60814,-0.587543,-0.571861,-0.553891,-0.539614,-0.538832,-0.55839,-0.588639,-0.629288,-0.66251,-0.69088,-0.707174,-0.722285,-0.732654,-0.738737,-0.739236,-0.738409,-0.737187,-0.731407,-0.727402,-0.727491,-0.723785,-0.722055,-0.718712,-0.713534,-0.710021,-0.704126,-0.703263,-0.703393,-0.704196,-0.707605,-0.70712,1
-0.75006,-0.748103,-0.746164,-0.745926,-0.743767,-0.743805,-0.745213,-0.745082,-0.745727,-0.745815,-0.745989,-0.745682,-0.7457,-0.745617,-0.746346,-0.745638,-0.74554,-0.744884,-0.744836,-0.746059,-0.744289,-0.744811,-0.745005,-0.744284,-0.742626,-0.742156,-0.741198,-0.740759,-0.738831,-0.73786,-0.729461,-0.700135,-0.650039,-0.60092,-0.577893,-0.569868,-0.563018,-0.570643,-0.57865,-0.585572,-0.585799,-0.574864,-0.557929,-0.538904,-0.516001,-0.474836,-0.406916,-0.327808,-0.252463,-0.0707979,0.112651,0.253075,0.480886,0.681988,0.872822,1.06665,1.25391,1.44374,1.61975,1.70016,1.73364,1.75238,1.76611,1.7717,1.77357,1.7781,1.7807,1.78159,1.78328,1.77978,1.78197,1.77693,1.77685,1.77623,1.77654,1.7774,1.7774,1.77187,1.7642,1.76225,1.7637,1.75944,1.7527,1.74222,1.71825,1.67777,1.61653,1.51422,1.39925,1.26103,1.11757,0.957252,0.785398,0.615984,0.450228,0.287269,0.144677,0.0184792,-0.109555,-0.214499,-0.311153,-0.373195,-0.427636,-0.458976,-0.479632,-0.505166,-0.517643,-0.526492,-0.534818,-0.539703,-0.549705,-0.553205,-0.554254,-0.553871,-0.553061,-0.556431,-0.555631,-0.561954,-0.57254,-0.591587,-0.62088,-0.659319,-0.700897,-0.735233,-0.768426,-0.78611,-0.792305,-0.791514,-0.790009,-0.78887,-0.78195,-0.774196,-0.767725,-0.754415,-0.743249,-0.734184,-0.723409,-0.721792,-0.721264,-0.720908,-0.721667,-0.724661,-0.72923,-0.72894,-0.727834,-0.728244,-0.726453,-0.725517,-0.725191,-0.724679,1
-0.599539,-0.597422,-0.599269,-0.598259,-0.597582,-0.591303,-0.58902,-0.587533,-0.585462,-0.583848,-0.581602,-0.578487,-0.577985,-0.576536,-0.578616,-0.577407,-0.577595,-0.576627,-0.57471,-0.57755,-0.575592,-0.575417,-0.575104,-0.57554,-0.572753,-0.572824,-0.57425,-0.57437,-0.573252,-0.573927,-0.572009,-0.567769,-0.568051,-0.568967,-0.567782,-0.568883,-0.567998,-0.570383,-0.565436,-0.56457,-0.561158,-0.557265,-0.553556,-0.538264,-0.507968,-0.442074,-0.334412,-0.124858,0.0929374,0.296607,0.503035,0.657064,0.776174,0.856013,0.955077,1.10151,1.29607,1.50354,1.72188,1.90312,2.02353,2.04107,2.04087,2.05212,2.05337,2.03633,2.03579,2.04201,2.0322,2.03665,2.03713,2.03698,2.03122,2.0341,2.02414,2.02454,2.02454,2.0274,2.01335,1.9501,1.83998,1.6938,1.52969,1.36335,1.21523,1.05782,0.868397,0.647252,0.37503,0.0985279,-0.125578,-0.380161,-0.542026,-0.667489,-0.724807,-0.733465,-0.724631,-0.699723,-0.680638,-0.666427,-0.657679,-0.649233,-0.643549,-0.635318,-0.623604,-0.609411,-0.58823,-0.566645,-0.541236,-0.5239,-0.518901,-0.521431,-0.529853,-0.541296,-0.555903,-0.571195,-0.582411,-0.588252,-0.592227,-0.593795,-0.594357,-0.593191,-0.592781,-0.592701,-0.595135,-0.591788,-0.597396,-0.59972,-0.601365,-0.601419,-0.606055,-0.605999,-0.611499,-0.61665,-0.621454,-0.625936,-0.632731,-0.63336,-0.63909,-0.640682,-0.644036,-0.643885,-0.645742,-0.646458,-0.646464,-0.645585,-0.642412,-0.643337,-0.636803,-0.631716,2
-0.547736,-0.55366,-0.557194,-0.559599,-0.564312,-0.56822,-0.571968,-0.575826,-0.577354,-0.580818,-0.586878,-0.59101,-0.593977,-0.599701,-0.602161,-0.605721,-0.608918,-0.612435,-0.613588,-0.619384,-0.620815,-0.621907,-0.621725,-0.620022,-0.620175,-0.620274,-0.618777,-0.615543,-0.616023,-0.612176,-0.614967,-0.614422,-0.613958,-0.614819,-0.615648,-0.617296,-0.616108,-0.616683,-0.614851,-0.617599,-0.618277,-0.61659,-0.617325,-0.617611,-0.60155,-0.533992,-0.41862,-0.211632,0.0414831,0.291233,0.563778,0.762261,0.917657,1.05356,1.16199,1.27223,1.38709,1.51012,1.62594,1.71949,1.81019,1.88672,1.89292,1.89548,1.8989,1.89981,1.90982,1.91487,1.91712,1.91653,1.91819,1.91796,1.92685,1.92656,1.91902,1.91082,1.91082,1.90072,1.89085,1.85768,1.79918,1.72867,1.6227,1.48491,1.32846,1.176,1.02793,0.88848,0.777604,0.695038,0.614593,0.521874,0.440705,0.32245,0.215633,0.088056,-0.0625718,-0.19821,-0.352687,-0.461958,-0.567017,-0.653467,-0.727692,-0.787541,-0.816947,-0.826486,-0.8158,-0.802491,-0.793663,-0.783994,-0.768414,-0.753746,-0.735586,-0.717303,-0.711357,-0.704755,-0.699135,-0.694545,-0.696177,-0.697514,-0.695421,-0.694836,-0.692408,-0.691545,-0.690224,-0.687774,-0.688935,-0.690306,-0.691224,-0.689488,-0.693318,-0.692508,-0.693614,-0.699891,-0.69909,-0.701458,-0.700646,-0.699445,-0.702052,-0.705324,-0.706939,-0.704759,-0.7039,-0.704163,-0.70541,-0.705741,-0.703861,-0.706541,-0.710381,-0.710854,2
-1.26118,-1.29488,-1.31011,-1.3196,-1.32026,-1.317,-1.30963,-1.29673,-1.28476,-1.28014,-1.27673,-1.27577,-1.27271,-1.27378,-1.27188,-1.27455,-1.27348,-1.27286,-1.27231,-1.27332,-1.27065,-1.27091,-1.26025,-1.22786,-1.13677,-0.992785,-0.784767,-0.52404,-0.266907,-0.00201944,0.238481,0.437911,0.589705,0.689779,0.752707,0.793382,0.823796,0.838475,0.853088,0.855676,0.870913,0.867947,0.88028,0.882636,0.888462,0.887128,0.886199,0.882756,0.88501,0.886901,0.887055,0.886189,0.891012,0.891865,0.897586,0.891271,0.891204,0.892853,0.895958,0.893139,0.894972,0.88776,0.893522,0.893341,0.88614,0.894257,0.888773,0.889594,0.889809,0.888193,0.894593,0.894137,0.895383,0.895698,0.895344,0.895206,0.895206,0.893347,0.895268,0.894013,0.892722,0.889424,0.887768,0.889691,0.888908,0.882963,0.88667,0.883619,0.878502,0.870319,0.872089,0.869199,0.87106,0.869283,0.868632,0.87105,0.860471,0.859206,0.858799,0.856612,0.858512,0.853314,0.844665,0.837732,0.829985,0.808377,0.793918,0.781312,0.743377,0.716155,0.687685,0.648212,0.598386,0.545616,0.456535,0.348016,0.208081,0.0467214,-0.144277,-0.348201,-0.545081,-0.751233,-0.928546,-1.07698,-1.20588,-1.30223,-1.33407,-1.35503,-1.36384,-1.36229,-1.35171,-1.32306,-1.29085,-1.25859,-1.23839,-1.2239,-1.221,-1.22657,-1.24124,-1.24964,-1.26011,-1.26923,-1.27446,-1.27898,-1.28009,-1.28135,-1.28128,-1.28062,-1.28021,-1.27994,2
-2.01258,-2.01207,-2.01163,-2.01353,-2.01344,-2.01322,-2.01425,-2.01228,-2.01406,-2.013,-2.01365,-2.01373,-2.01371,-2.01569,-2.01552,-2.01641,-2.01783,-2.01761,-2.01868,-2.01981,-2.01971,-2.02184,-2.01356,-1.99396,-1.94311,-1.83392,-1.67447,-1.46997,-1.2115,-0.942918,-0.650607,-0.366054,-0.103959,0.108553,0.286011,0.418856,0.504473,0.553471,0.574983,0.579284,0.579739,0.571749,0.555498,0.551053,0.552144,0.553717,0.552598,0.54817,0.553014,0.567999,0.559548,0.567303,0.573652,0.569153,0.574039,0.574454,0.578887,0.580826,0.579117,0.589424,0.578684,0.582106,0.585396,0.585752,0.587256,0.593964,0.591123,0.592958,0.592027,0.587027,0.593098,0.587054,0.592486,0.592352,0.58605,0.584494,0.584494,0.59024,0.586562,0.581636,0.578596,0.574982,0.571219,0.579306,0.574212,0.574099,0.578501,0.577236,0.57713,0.581337,0.567039,0.575402,0.561579,0.565007,0.562577,0.561603,0.564622,0.561972,0.569559,0.560504,0.561879,0.562687,0.565229,0.560298,0.557073,0.560352,0.556923,0.553919,0.555177,0.55769,0.55856,0.558869,0.558631,0.56289,0.56199,0.565088,0.566615,0.567531,0.568624,0.567088,0.573003,0.572242,0.579567,0.578459,0.579993,0.579526,0.577089,0.581832,0.581752,0.583042,0.577503,0.582964,0.581938,0.569949,0.575248,0.576982,0.563678,0.543056,0.52759,0.478296,0.42697,0.360089,0.27434,0.163402,0.0195923,-0.150113,-0.333859,-0.551477,-0.782467,-1.00799,2
-1.06557,-1.0665,-1.06722,-1.0682,-1.06762,-1.07125,-1.06749,-1.06782,-1.06788,-1.06982,-1.07036,-1.06957,-1.06898,-1.06676,-1.06878,-1.06699,-1.07118,-1.03248,-0.980267,-0.866834,-0.689321,-0.46244,-0.224644,0.0310685,0.284664,0.50799,0.699334,0.842865,0.964993,1.01619,1.07054,1.08991,1.08669,1.09716,1.09089,1.08297,1.07993,1.07824,1.08544,1.08765,1.08858,1.0889,1.0875,1.0879,1.08752,1.08584,1.0778,1.07734,1.0756,1.07733,1.07101,1.06713,1.06484,1.07004,1.06759,1.07072,1.06703,1.06763,1.06756,1.06059,1.06009,1.06318,1.05994,1.06329,1.06047,1.06254,1.05857,1.05705,1.05758,1.05632,1.05288,1.05401,1.06,1.05814,1.05472,1.05963,1.05963,1.05856,1.05955,1.05979,1.05545,1.05453,1.05537,1.03299,1.0163,1.01699,0.996341,0.973374,0.927096,0.910385,0.883118,0.829533,0.772337,0.692371,0.601155,0.498144,0.369302,0.21617,0.0539291,-0.124067,-0.293947,-0.445559,-0.601654,-0.744799,-0.853717,-0.950797,-1.0251,-1.07675,-1.10705,-1.11502,-1.11509,-1.1104,-1.09529,-1.07707,-1.0687,-1.06137,-1.05405,-1.05261,-1.05262,-1.04752,-1.04767,-1.04678,-1.04545,-1.04673,-1.04535,-1.04574,-1.04352,-1.04369,-1.04454,-1.04367,-1.0458,-1.04581,-1.04614,-1.04796,-1.04838,-1.04839,-1.05168,-1.05019,-1.0485,-1.04811,-1.0516,-1.04651,-1.04887,-1.0463,-1.04658,-1.03803,-1.03761,-1.03343,-1.03146,-1.03016,2
-1.17721,-1.17584,-1.17319,-1.17089,-1.16949,-1.16631,-1.16592,-1.16764,-1.1669,-1.16844,-1.16867,-1.16988,-1.17198,-1.1745,-1.17223,-1.15104,-1.11124,-1.03811,-0.963577,-0.879187,-0.817756,-0.778333,-0.763751,-0.758157,-0.760056,-0.744711,-0.72135,-0.701085,-0.688572,-0.681296,-0.674616,-0.673104,-0.672518,-0.654698,-0.607994,-0.540509,-0.412173,-0.253204,-0.0981278,0.0790749,0.22602,0.379002,0.50076,0.628002,0.738855,0.854198,0.944192,1.02504,1.0879,1.13109,1.16093,1.17049,1.18723,1.18839,1.18929,1.19367,1.20148,1.20239,1.20091,1.19897,1.20224,1.19913,1.19923,1.20073,1.19844,1.2002,1.19738,1.19721,1.19733,1.19477,1.19258,1.1914,1.1898,1.18626,1.19228,1.18938,1.18938,1.19138,1.19171,1.18961,1.18806,1.19099,1.19172,1.19135,1.19594,1.19288,1.19371,1.18499,1.18861,1.18717,1.18252,1.18104,1.17888,1.17276,1.16586,1.1553,1.1236,1.09795,1.05418,0.988377,0.906527,0.818147,0.708663,0.597928,0.485545,0.371931,0.25358,0.145045,0.0308563,-0.0789097,-0.177546,-0.284342,-0.373429,-0.475223,-0.555375,-0.63135,-0.697966,-0.757978,-0.791072,-0.813008,-0.826093,-0.835069,-0.838294,-0.832031,-0.829396,-0.823867,-0.823237,-0.820905,-0.819597,-0.828092,-0.836456,-0.843884,-0.859819,-0.881157,-0.906539,-0.931954,-0.963936,-1.01568,-1.08187,-1.15164,-1.22556,-1.2957,-1.32742,-1.32707,-1.30044,-1.27114,-1.26728,-1.26501,-1.27072,-1.26213,1
-0.816323,-0.814104,-0.815892,-0.81422,-0.816649,-0.816978,-0.811393,-0.811339,-0.812096,-0.813699,-0.811586,-0.808368,-0.797185,-0.763087,-0.728759,-0.674797,-0.627516,-0.591224,-0.565056,-0.569593,-0.589671,-0.619967,-0.649171,-0.656722,-0.637462,-0.629167,-0.608469,-0.590588,-0.573111,-0.560632,-0.545885,-0.524812,-0.516762,-0.497953,-0.469088,-0.421307,-0.360122,-0.253859,-0.12858,0.0118654,0.176121,0.365969,0.535591,0.697752,0.833522,0.959848,1.0656,1.15116,1.22794,1.29395,1.34549,1.39893,1.39597,1.40318,1.41787,1.4269,1.42738,1.42733,1.44406,1.4504,1.43756,1.43807,1.4348,1.40995,1.41791,1.41175,1.4077,1.41645,1.41436,1.41149,1.4034,1.40858,1.41397,1.41052,1.4145,1.41568,1.41568,1.41873,1.39911,1.40725,1.40315,1.39813,1.40722,1.39927,1.39289,1.4059,1.38691,1.34675,1.27574,1.22665,1.11597,0.999774,0.858549,0.704642,0.554802,0.396862,0.222819,0.0750526,-0.0800401,-0.214504,-0.339498,-0.459344,-0.548772,-0.616744,-0.656312,-0.673509,-0.678162,-0.694045,-0.686494,-0.699511,-0.696812,-0.695333,-0.694607,-0.690996,-0.692722,-0.699532,-0.709292,-0.725483,-0.73591,-0.745807,-0.767715,-0.804484,-0.855228,-0.95441,-1.05956,-1.12134,-1.1392,-1.14252,-1.1346,-1.12572,-1.11614,-1.10418,-1.08891,-1.07861,-1.06482,-1.05561,-1.04401,-1.03781,-1.03205,-1.02776,-1.0272,-1.02807,-1.02161,-1.02119,-1.02479,-1.02172,-1.02289,-1.02138,-1.02227,-1.02298,1
-1.13685,-1.14075,-1.13947,-1.13001,-1.12161,-1.11899,-1.11225,-1.11317,-1.11573,-1.11475,-1.11482,-1.11475,-1.11598,-1.11814,-1.11518,-1.10381,-1.08311,-1.04259,-0.982471,-0.919737,-0.845209,-0.791454,-0.761405,-0.729414,-0.723871,-0.705878,-0.693136,-0.685011,-0.684572,-0.678627,-0.667672,-0.655834,-0.655289,-0.656687,-0.656586,-0.654749,-0.641395,-0.590441,-0.466836,-0.326091,-0.142156,0.0524064,0.221818,0.390879,0.539884,0.674645,0.798308,0.905193,0.994718,1.08321,1.15405,1.1977,1.20759,1.22105,1.22134,1.21527,1.21553,1.21491,1.23042,1.22049,1.22346,1.22069,1.22042,1.21409,1.21996,1.21166,1.2125,1.20626,1.20754,1.19978,1.20583,1.20667,1.20824,1.20739,1.2083,1.20815,1.20815,1.2023,1.19772,1.1951,1.19655,1.19876,1.19924,1.2011,1.19643,1.20317,1.20141,1.20282,1.2001,1.20166,1.19902,1.20543,1.1975,1.19804,1.18564,1.17943,1.16451,1.15655,1.13624,1.09078,1.03457,0.981475,0.895724,0.78659,0.67738,0.544174,0.401186,0.266303,0.124162,-0.0238494,-0.155492,-0.298195,-0.419024,-0.535276,-0.626439,-0.708875,-0.769285,-0.801506,-0.825357,-0.834898,-0.833048,-0.833017,-0.834232,-0.834262,-0.836453,-0.846482,-0.849364,-0.848558,-0.848313,-0.851891,-0.856353,-0.861195,-0.877039,-0.903993,-0.970599,-1.0553,-1.15045,-1.20191,-1.21999,-1.21646,-1.18608,-1.15496,-1.13024,-1.11883,-1.12213,-1.12409,-1.12024,-1.11185,-1.10358,-1.104,1
