f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,class
-0.710518,-1.18332,-1.37244,-1.59308,-1.467,-1.37244,-1.08876,0.0459669,0.928532,1.08613,1.27525,0.960052,0.61333,0.0144468,-0.647477,-0.269235,-0.206195,0.61333,1.36981,1.46438,1.05461,0.58181,0.172048,-0.269235,1
-0.993009,-1.42679,-1.57988,-1.6054,-1.63092,-1.37575,-1.01853,-0.355102,0.716583,1.20139,1.12484,1.04829,0.793132,0.46142,0.486936,0.563485,0.614518,0.308322,0.257289,1.09933,1.04829,0.691066,-0.0489062,-0.380618,1
1.31907,0.569775,0.195128,-0.0858564,-0.179518,-0.27318,-0.0858564,-1.39712,-1.11613,-0.741487,0.00780513,-0.0858564,0.00780513,-0.460503,-0.554164,-0.741487,-0.741487,-0.741487,-1.11613,-0.460503,0.476113,2.34934,2.25568,1.60005,2
-0.812444,-1.15755,-1.41639,-1.53142,-1.50266,-1.41639,-1.64646,-0.467335,0.654269,1.0569,1.34449,1.20069,0.999378,0.654269,0.740547,0.884342,0.884342,0.683028,0.62551,0.424197,-0.00718977,-0.0359489,0.107847,-0.266022,2
-0.97284,-1.39052,-1.5367,-1.62024,-1.62024,-1.45317,-0.993724,0.0504694,0.635218,1.03201,0.802289,0.823173,0.656102,0.384611,0.32196,0.489031,0.614334,1.3035,1.24085,1.07378,0.551682,0.426379,-0.179253,-0.638698,1
0.367424,-0.277808,-0.761732,-0.869271,-1.13812,-1.08435,-1.13812,-0.600424,-1.08435,-0.277808,0.367424,0.474963,0.528732,0.0985771,-0.277808,-0.385347,-0.600424,-0.546655,-0.492886,0.367424,2.30312,2.08804,1.76543,1.17396,1
0.0872128,-0.576455,-1.08697,-1.39328,-1.39328,-1.29117,-1.75064,-0.729609,0.34247,1.72086,1.82296,1.77191,1.15929,0.801932,0.189316,-0.01489,-0.0659414,-0.0659414,-0.01489,0.0872128,-0.321198,-0.219096,0.750881,0.189316,2
-1.09907,-1.37556,-1.52303,-1.55989,-1.59676,-1.43086,-1.13593,-0.232717,0.652068,0.946996,1.0023,0.91013,0.799532,0.430872,0.559903,0.633635,0.836398,0.781099,1.20506,0.983862,0.596769,0.301841,-0.122119,-0.564511,1
-1.14987,-1.54925,-1.48934,-1.56921,-1.56921,-1.4494,-1.08996,0.0881955,0.34779,1.06667,1.1066,1.0467,0.647322,0.50754,0.607384,0.627353,0.687259,0.727197,1.06667,0.966823,0.587415,0.367759,-0.0715549,-0.510868,1
-0.75624,-1.18838,-1.31548,-1.44257,-1.44257,-1.29006,-1.54425,-0.883339,0.413072,1.20109,1.27735,1.25193,0.997728,0.845209,0.896049,0.972308,1.02315,0.71811,0.311393,0.489332,-0.146164,-0.197004,0.0571946,-0.247843,2
-0.509517,-1.23957,-1.23957,-1.6046,-1.6046,-1.14831,-0.783287,-1.23957,-0.14449,0.950592,1.31562,1.49813,1.22436,0.859335,0.494308,0.768078,0.494308,0.494308,0.12928,-0.327003,-0.692031,1.04185,0.859335,0.403051,2
-1.00482,-1.38162,-1.55747,-1.60771,-1.65795,-1.43186,-1.08018,0.226084,0.929456,1.18066,1.1053,0.879215,0.728492,0.527529,0.552649,0.653131,0.57777,0.276325,0.226084,1.20578,0.778733,0.527529,0.0251204,-0.678252,1
-0.974866,-1.28245,-1.54902,-1.61054,-1.63104,-1.4875,-1.01588,-0.13414,0.68608,1.03467,1.01417,0.891135,0.522036,0.440014,0.399003,0.419508,0.542541,1.30124,1.21922,0.91164,0.583552,0.522036,-0.195657,-0.605767,1
-0.874915,-1.26532,-1.4884,-1.6836,-1.6836,-1.51629,-1.26532,-0.3172,0.519372,1.13286,1.18863,1.18863,0.881887,0.575144,0.603029,0.630915,0.881887,0.491486,0.2684,0.352058,0.881887,0.630915,0.156857,-0.289315,2
-0.964323,-1.4333,-1.52709,-1.62088,-1.66778,-1.4333,-0.964323,-0.237417,0.653629,1.14605,1.14605,1.00536,0.770872,0.372246,0.372246,0.559835,0.536386,0.395695,0.466041,1.40398,0.888115,0.559835,0.0674147,-0.495351,1
0.83967,-0.369455,-0.427032,-0.830074,-0.945229,-0.887651,-1.80889,-1.521,-1.11796,-0.427032,0.379051,0.666938,0.83967,0.148742,-0.081568,-0.311878,-0.542187,-0.2543,-0.0239906,0.379051,0.954825,2.16395,1.70333,1.47302,2
-0.585515,-0.819722,-1.18776,-1.45542,-1.79,-1.38851,-1.05393,-0.418225,-0.451683,0.117103,0.518599,0.652431,0.552057,0.217477,-0.117103,-0.485141,0.016729,1.1543,1.42197,1.62271,1.52234,1.32159,0.685889,-0.050187,1
-0.258057,-0.731436,-1.12592,-1.36261,-1.48095,-1.4415,-1.08647,-0.770884,-0.810332,0.0180804,0.333666,0.649252,0.6887,-0.100264,-0.218609,-0.297505,-0.258057,0.885941,1.51711,1.71435,1.63546,1.35932,0.846493,0.294218,1
-0.869585,-1.2261,-1.41807,-1.52777,-1.52777,-1.47292,-1.5552,-0.650189,0.501639,1.18725,1.21468,1.29695,1.0227,0.693611,0.693611,0.803309,0.803309,0.666186,0.391941,0.337093,0.0902722,0.117697,0.44679,-0.0194257,2
-1.07068,-1.31398,-1.48242,-1.55728,-1.55728,-1.48242,-1.05196,-0.172338,0.463987,0.969305,0.931874,0.913158,0.688573,0.632426,0.482703,0.520134,0.651142,1.28747,1.0816,1.06288,0.669857,0.314264,-0.265915,-0.715086,1
-1.04197,-1.3488,-1.5214,-1.61729,-1.63646,-1.21456,-1.0995,-0.255697,0.779877,1.14425,1.16342,0.97165,0.856586,0.492217,0.453863,0.530572,0.703167,0.68399,1.10589,1.01,0.511394,0.242912,-0.217343,-0.696775,1
-0.812868,-1.17271,-1.50686,-1.55826,-1.60967,-1.37834,-1.12131,-0.632944,0.626519,1.32051,1.39762,1.39762,1.16629,0.755035,0.652222,0.703628,0.677925,0.420892,0.292375,0.0867487,0.00963875,0.523705,0.189562,-0.427318,2
-1.09449,-1.3614,-1.60606,-1.65055,-1.65055,-1.47261,-1.11674,0.262271,0.840564,1.12971,1.10747,1.0185,0.773838,0.373481,0.373481,0.595902,0.551418,0.351239,0.506934,1.1742,0.751596,0.462449,0.0176083,-0.338265,1
-0.838943,-1.15111,-1.46327,-1.58814,-1.713,-1.43206,-1.02624,-0.433129,0.222417,0.440933,0.971613,1.03405,0.81553,0.440933,0.0975515,0.0975515,0.128768,1.03405,1.37743,1.47108,1.09648,0.690664,0.066335,-0.339479,1
-0.965506,-1.34499,-1.55845,-1.65332,-1.6296,-1.46358,-1.06038,0.0780706,0.623576,1.26395,1.1928,0.955623,0.7896,0.362682,0.410118,0.338965,0.504988,0.338965,0.528706,1.42998,0.813317,0.504988,-0.0168,-0.443718,1
-0.404977,-1.00992,-1.33256,-1.45355,-1.49388,-1.29223,-0.848603,-0.525966,0.804913,1.40986,1.40986,1.20821,0.764583,0.119309,-0.324318,-0.243658,-0.162999,-0.445307,-0.162999,1.73249,1.40986,0.925902,0.159638,-0.243658,1
-0.920247,-1.38251,-1.5366,-1.61364,-1.63932,-1.43387,-0.997291,-0.303896,0.671994,1.13426,1.2113,1.2113,0.77472,0.363819,0.3895,0.338137,0.466544,0.3895,0.3895,1.39107,0.903126,0.620632,-0.098445,-0.329577,1
-0.648466,-1.09472,-1.37363,-1.4852,-1.65254,-1.42941,-0.815812,-0.871593,0.132482,1.08078,1.35969,1.35969,1.3039,0.857648,0.801866,0.91343,1.08078,0.578738,0.35561,-0.0348637,-0.704248,0.188264,0.299828,-0.20221,2
-0.973864,-1.29514,-1.56287,-1.64319,-1.50932,-1.50932,-1.08096,-0.38486,0.471872,1.38215,1.3286,1.27506,0.900238,0.659282,0.712828,0.712828,0.632509,0.364781,0.284462,0.123825,0.311235,0.846692,0.230916,-0.277769,2
-0.888219,-1.36083,-1.5847,-1.60957,-1.5847,-1.46033,-0.987716,-0.515105,0.50474,1.10172,1.17635,1.0271,0.67886,0.33062,0.454992,0.454992,0.579363,0.430118,0.454992,1.44996,0.952477,0.753483,0.0570035,-0.415608,1
-1.04341,-1.34833,-1.5008,-1.57703,-1.6342,-1.46268,-1.08153,-0.281102,0.843305,0.976709,0.976709,0.862362,0.7099,0.385919,0.538381,0.519323,0.748016,1.01482,1.16729,1.03388,0.519323,0.309688,-0.109582,-0.566967,1
0.339263,-0.325416,-0.713146,-0.934705,-1.10088,-1.10088,-0.879316,-0.546976,-0.990095,-0.325416,0.283874,0.616213,0.505433,0.117704,-0.380806,-0.546976,-0.713146,-0.713146,-0.380806,0.450043,2.38869,2.05635,1.72401,1.17011,2
-0.752127,-1.06928,-1.35999,-1.49214,-1.51857,-1.38642,-1.49214,-0.593552,0.410751,1.15076,1.30934,1.28291,1.07148,0.860045,0.939332,0.912903,0.99219,0.7279,0.46361,0.278606,-0.170688,-0.197117,-0.11783,-0.249975,2
-0.35731,-0.852048,-1.30556,-1.47047,-1.5117,-1.47047,-1.01696,-0.728364,-0.439767,0.0137427,0.673393,0.755849,0.755849,0.178655,-0.398539,-0.274854,-0.0274854,1.08567,1.53918,1.66287,1.53918,1.08567,0.590936,-0.0274854,1
0.0653893,-0.529878,-1.12515,-1.39572,-1.44984,-1.28749,-1.99099,-0.746339,0.552426,1.47239,1.85119,1.74296,1.25592,0.498311,-0.0969565,0.17362,0.119504,0.0653893,0.0653893,0.28185,0.011274,-0.0969565,0.552426,0.011274,2
-0.896041,-1.23125,-1.41175,-1.4891,-1.4891,-1.43753,-1.4891,-0.741329,0.470583,1.21836,1.19257,1.141,1.11522,0.754221,0.728436,0.857363,0.831577,0.960504,0.290085,0.367441,0.00644634,0.058017,0.2643,-0.0709097,2
-1.11493,-1.33842,-1.52128,-1.60255,-1.60255,-1.50096,-1.03366,-0.0787305,0.490161,0.733972,0.693337,0.937147,0.977782,0.551114,0.551114,0.733972,0.815242,1.09969,1.03874,1.07937,0.612066,0.24635,-0.160001,-0.606987,1
0.208101,-0.564847,-1.04051,-1.27834,-1.33779,-1.09996,-1.81345,-0.743219,0.327016,1.69454,2.22966,1.81345,1.04051,0.208101,-0.0297288,0.0297288,0.0297288,0.0297288,-0.148644,0.0297288,-0.208101,-0.267559,0.743219,0.148644,2
-1.14549,-1.38878,-1.60774,-1.63207,-1.58341,-1.34012,-0.902201,-0.488608,0.533211,1.16577,1.09278,0.971133,0.703514,0.460224,0.387237,0.581869,0.55754,0.387237,0.31425,1.33607,1.11711,0.703514,0.0709597,-0.293976,1
-0.880085,-1.2583,-1.46196,-1.54924,-1.60743,-1.52015,-1.02555,-0.792804,0.341851,0.778257,1.24376,1.24376,1.15647,0.661882,0.720069,0.807351,1.06919,0.865538,0.48732,0.429132,0.225476,0.516413,-0.0945546,-0.356398,2
-0.411372,-0.673485,-1.11034,-1.2414,-1.41614,-1.32877,-0.848227,-0.586114,-0.804541,0.0691687,0.680766,0.768137,0.63708,0.0691687,-0.367686,-0.498743,-0.367686,-0.0182023,1.7729,2.03502,1.55448,1.42342,0.63708,0.0254832,1
-0.986737,-1.38441,-1.50372,-1.58325,-1.62302,-1.34465,-0.986737,-0.0919629,0.922114,1.12095,1.12095,1.00165,0.802811,0.325598,0.345482,0.38525,0.524437,0.74316,1.22037,1.14084,0.544321,0.265947,-0.270918,-0.688479,1
-0.889962,-1.26774,-1.4421,-1.52928,-1.52928,-1.47116,-1.18056,-0.715602,0.243377,1.05706,1.26048,1.3186,1.08612,0.737397,0.824577,0.882697,0.969877,0.621157,0.446797,0.185257,0.0980774,0.592097,0.0980774,-0.395942,2
-0.0269523,-0.627603,-1.18205,-1.59789,-1.45927,-1.22825,-1.7827,-1.22825,0.342679,1.35917,1.68259,1.54398,0.897126,0.435087,0.0654555,0.157863,-0.0269523,0.157863,-0.0269523,0.111659,0.157863,1.08194,0.897126,0.296475,2
-1.06441,-1.32376,-1.56149,-1.60472,-1.58311,-1.43182,-0.913123,-0.0702402,0.642968,0.902317,0.902317,0.859092,0.664581,0.362007,0.362007,0.513294,0.599744,0.642968,1.35618,1.37779,0.83748,0.362007,-0.0486279,-0.783449,1
-0.78046,-1.13594,-1.38204,-1.46407,-1.46407,-1.38204,-1.49142,-0.671081,0.231289,1.24304,1.46179,1.40711,1.29773,0.696147,0.696147,0.83287,0.860214,0.450046,0.368012,0.258634,-0.0148116,0.0398775,0.203945,-0.260913,2
0.322199,-0.0847891,-0.549918,-0.840623,-0.956905,-1.01505,-0.724341,-1.48018,-1.13133,-0.375494,0.264057,0.496622,0.496622,0.147775,-0.259212,-0.259212,-0.6662,-0.433636,-0.491777,0.205916,2.18271,2.24085,1.71758,1.19431,2
-0.760221,-1.23619,-1.39484,-1.57994,-1.68571,-1.39484,-1.47417,-0.601567,0.588345,1.1172,1.30229,1.24941,0.932098,0.720558,0.747,0.826328,0.85277,0.614788,0.509018,0.403248,0.191708,0.0859381,0.191708,-0.204929,2
0.506321,-0.349433,-0.862886,-1.26224,-1.37634,-1.20519,-0.862886,-1.60454,-0.976986,-0.0641816,0.734523,0.791573,0.791573,0.16402,-0.349433,-0.235332,-0.235332,-0.292383,-0.0641816,1.01977,1.01977,2.33193,1.47618,0.905673,2
-0.468801,-0.898535,-1.36734,-1.44547,-1.48454,-1.25014,-0.742268,-0.507868,0.507868,1.44547,1.48454,1.21107,0.820402,0.195334,-0.312534,-0.312534,-0.429734,-0.429734,-0.1172,1.71894,1.48454,0.937602,0.195334,-0.2344,1
-1.06676,-1.38879,-1.54981,-1.64183,-1.61882,-1.4348,-0.974744,-0.353668,0.635453,1.23353,1.0495,0.796472,0.589447,0.382422,0.474433,0.543441,0.543441,0.359419,0.45143,1.41755,1.0265,0.77347,0.0833852,-0.330665,1
-0.199345,-0.705915,-1.21248,-1.5502,-1.5502,-1.49391,-1.09991,-0.931057,-0.25563,1.15151,1.71436,1.48922,1.15151,1.09522,0.0820831,-0.199345,-0.030488,-0.030488,-0.0867735,0.0257975,0.476082,1.48922,0.532367,0.138369,2
-0.981614,-1.34221,-1.53452,-1.65472,-1.60664,-1.43837,-0.981614,-0.452745,0.749232,1.30214,1.37426,1.23002,0.989627,0.773272,0.653074,0.412679,0.677113,0.484797,0.244402,0.196323,0.148244,0.749232,0.244402,-0.236389,2
0.298284,-0.518072,-1.08324,-1.33443,-1.27163,-1.20884,-1.9624,-0.769259,0.486674,1.61701,1.99379,1.67981,1.24023,0.549471,-0.204089,-0.0156992,0.109894,-0.0784958,-0.0156992,-0.0156992,-0.0156992,-0.266886,0.737861,0.0470975,2
-0.459503,-0.931099,-1.43897,-1.51152,-1.62035,-1.40269,-0.894822,0.0120922,0.483688,1.31805,1.35433,1.10039,0.519964,0.193475,-0.314397,-0.205567,-0.314397,-0.241844,0.302305,1.68081,1.68081,0.846453,0.120922,-0.27812,1
-0.953237,-1.6212,-1.37071,-1.45421,-1.45421,-1.56554,-1.14806,-0.257444,0.661004,1.18981,1.21764,1.24547,0.994985,0.605341,0.661004,0.716668,0.91149,0.521845,0.466182,0.27136,0.744499,0.299191,-0.173948,-0.507929,2
-0.82904,-1.19438,-1.50351,-1.64403,-1.58782,-1.47541,-1.44731,-0.210773,0.688524,1.27869,1.25059,1.25059,0.997658,0.660421,0.632318,0.857143,0.772834,0.604215,0.295082,0.154567,0.126464,0.210773,0.323185,-0.210773,2
-1.11898,-1.4021,-1.54366,-1.60432,-1.54366,-1.38187,-1.05831,-0.208966,0.458378,0.963942,1.00439,0.660604,0.721271,0.559491,0.599936,0.883052,0.802162,1.06505,1.1055,1.00439,0.579713,0.276375,-0.249412,-0.572973,1
-0.0526207,-0.575199,-1.09778,-1.35907,-1.44616,-1.40261,-0.967133,-0.618747,-0.836488,-0.139717,0.557054,0.600602,0.557054,0.121572,-0.357458,-0.31391,-0.531651,-0.0526207,1.47157,1.55866,1.90705,1.55866,1.12318,0.295765,1
1.20901,0.570286,-0.250926,-0.342172,-0.707155,-0.615909,-0.342172,-1.34588,-0.980892,-0.433417,0.114057,0.387795,0.296549,-0.15968,-0.433417,-0.707155,-0.524663,-0.889646,-0.707155,-0.433417,-0.250926,2.21271,2.21271,2.12146,2
-0.815954,-1.08059,-1.34522,-1.43343,-1.52164,-1.43343,-1.52164,-0.668935,0.15437,1.1835,1.33052,1.30112,1.24231,0.801252,0.801252,0.86006,0.918867,0.654233,0.477811,0.360196,-0.139668,-0.169072,0.15437,-0.110264,2
-1.23857,-1.33354,-1.50449,-1.56147,-1.54247,-1.48549,-1.01064,-0.136915,0.603852,1.00273,1.00273,0.907756,0.755804,0.527876,0.508882,0.64184,0.717816,1.0977,1.13568,0.92675,0.527876,0.299947,-0.269874,-0.573778,1
-1.03793,-1.30166,-1.46948,-1.58936,-1.61334,-1.51744,-1.0619,-0.00699278,1.21575,1.14382,1.11985,1.09587,0.975993,0.352636,0.424562,0.448537,0.448537,0.304686,0.448537,1.21575,0.664315,0.352636,-0.102894,-0.510474,1
-0.373579,-0.986632,-1.44642,-1.67632,-1.75295,-1.36979,-0.91,-0.986632,-0.220316,0.852527,1.00579,1.31232,1.23568,0.775895,0.469369,0.775895,0.929158,0.392737,0.162842,0.00957896,-0.373579,1.31232,0.929158,-0.0670526,2
-1.15915,-1.3014,-1.52493,-1.56557,-1.60622,-1.44365,-1.07787,0.0194744,0.730714,1.17778,1.17778,1.0965,1.03553,0.791678,0.710393,0.486861,0.446218,0.486861,0.263328,0.893284,0.669751,0.46654,-0.122774,-0.651123,1
-0.694919,-1.23583,-1.41613,-1.50628,-1.50628,-1.50628,-1.05553,-1.01045,-0.0638574,1.10811,1.37857,1.33349,1.10811,0.747508,0.61228,1.06304,0.927811,0.61228,0.251673,0.161522,0.0262942,0.657356,0.206598,-0.199085,2
0.984033,0.169661,-0.519423,-0.832643,-0.895287,-0.707355,-0.707355,-1.7723,-0.895287,0.482881,0.670813,0.733457,0.733457,0.420237,-0.519423,-0.644711,-0.707355,-0.769999,-0.707355,-0.268847,0.232305,2.42485,1.92369,1.17197,2
